token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
ORDI,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2023-05-21T09:55:00+00:00,2023-05-21 17:55:00 SGT,1060.7,ordinals,3.91,54.674700849146,139082712.298402100801,81477916.006110981107,matched_exact_symbol_unique
ENJ,4,"Binance, Bitget, Bybit, OKX",2019-09-25T08:00:00+00:00,2019-09-25 16:00:00 SGT,2394.8,enjincoin,0.090621,50.970206646192,703071625.797436356544,180681623.171903252602,matched_exact_symbol_unique
BLUR,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2023-02-15T02:33:07+00:00,2023-02-15 10:33:07 SGT,1156,blur,0.02875347,41.308843623602,93431733.417789265513,77736108.670786499977,matched_exact_symbol_unique
ALCH,3,"Binance, Bitget, Bybit",2025-01-07T07:32:11+00:00,2025-01-07 15:32:11 SGT,463.8,alchemist-ai,0.088638,37.19498366197,32205456.471379481256,75118455.552181005478,matched_exact_symbol_unique
CTSI,2,"Binance, Bitget",2021-10-25T07:00:00+00:00,2021-10-25 15:00:00 SGT,1633.8,cartesi,0.04237774,31.61020284614,76115963.715569227934,38648671.955713704228,matched_exact_symbol_unique
AKE,2,"Binance, Bybit",2025-09-26T12:30:00+00:00,2025-09-26 20:30:00 SGT,201.6,akedo,0.0009441,29.631776900466,4566245.200051693246,21521906.600501667708,matched_exact_symbol_unique
BR,3,"Binance, Bitget, Bybit",2025-03-20T13:19:48+00:00,2025-03-20 21:19:48 SGT,391.5,bedrock-token,0.238159,28.526385102868,17701267.546312585473,60011389.826925992966,matched_exact_symbol_unique
UB,3,"Binance, Bitget, Bybit",2025-09-12T09:16:09+00:00,2025-09-12 17:16:09 SGT,215.7,unibase,0.02984496,23.418650365884,9633435.380777737126,74612398.921861872077,matched_exact_symbol_unique
1000SATS,2,"Binance, Bitget",2023-12-12T14:00:00+00:00,2023-12-12 22:00:00 SGT,855.5,1000sats-ordinals,0.00001418,23.101775079271,8615738.212875349447,0,matched_exact_symbol_unique
XNY,2,"Binance, Bybit",2025-08-13T11:45:00+00:00,2025-08-13 19:45:00 SGT,245.6,codatta,0.00608723,22.995341135697,20401675.637719277292,15164471.250266447663,matched_exact_symbol_unique
