token,venue_count,venues,earliest_listing_time_utc,earliest_listing_time_sgt,listing_age_days,coingecko_id,current_price_usd,price_change_24h_pct,volume_24h_usd,market_cap_usd,match_status
MOVR,3,"Binance, Bitget, Bybit",2023-11-23T06:09:22+00:00,2023-11-23 14:09:22 SGT,876.1,moonriver,4.1,224.271389927713,95970865.153458431363,46994402.142485819757,matched_exact_symbol_unique
SIREN,3,"Binance, Bitget, Bybit",2025-03-22T03:20:42+00:00,2025-03-22 11:20:42 SGT,391.2,siren-2,1.94,132.5027172037,141002169.611982524395,1414674367.070531368256,matched_exact_symbol_unique
TAKE,1,Binance,2025-09-03T11:15:00+00:00,2025-09-03 19:15:00 SGT,225.9,overtake,0.04639877,67.385817434267,5681954.416915520094,11975087.701759489253,matched_exact_symbol_unique
ORDI,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2023-05-21T09:55:00+00:00,2023-05-21 17:55:00 SGT,1061.9,ordinals,7.81,50.664400527437,1269342726.201269865036,164608590.040112257004,matched_exact_symbol_unique
PRL,3,"Binance, Bitget, Bybit",2026-03-27T04:50:57+00:00,2026-03-27 12:50:57 SGT,21.1,perle,0.27699,47.233746922442,39450595.417325019836,48249674.776500694454,matched_override_map
GRIFFAIN,4,"Binance, Bitget, Bybit, Hyperliquid",2024-12-20T08:39:59+00:00,2024-12-20 16:39:59 SGT,483,griffain,0.01820248,38.684072057769,8379590.780173124745,18199763.141510497779,matched_exact_symbol_unique
RAVE,4,"Binance, Bitget, Bybit, OKX",2025-12-14T15:30:00+00:00,2025-12-14 23:30:00 SGT,123.7,ravedao,18.46,28.53776858573,250272081.797055333853,4586586344.121762275696,matched_exact_symbol_unique
SKYAI,2,"Binance, Bitget",2025-05-13T09:45:00+00:00,2025-05-13 17:45:00 SGT,338.9,skyai,0.150574,26.183548614694,84434377.332630112767,150753166.895673394203,matched_exact_symbol_unique
KSM,4,"Binance, Bitget, Bybit, OKX",2019-09-25T08:00:00+00:00,2019-09-25 16:00:00 SGT,2396,kusama,5.72,26.020385808018,45545477.172732248902,103321167.549736469984,matched_exact_symbol_unique
UB,3,"Binance, Bitget, Bybit",2025-09-12T09:16:09+00:00,2025-09-12 17:16:09 SGT,216.9,unibase,0.03706812,25.816326900943,19689600.993110913783,93135518.148234769702,matched_exact_symbol_unique
EUL,3,"Binance, Bitget, Bybit",2025-10-13T14:30:00+00:00,2025-10-13 22:30:00 SGT,185.7,euler,1.53,25.294296112235,33119811.165584471077,36932488.265066705644,matched_exact_symbol_unique
ZETA,5,"Binance, Bitget, Bybit, Hyperliquid, OKX",2024-02-01T03:25:00+00:00,2024-02-01 11:25:00 SGT,806.2,zetachain,0.065686,24.367095128569,83536900.808752804995,89573918.464022934437,matched_exact_symbol_unique
OL,2,"Bybit, OKX",2024-11-21T08:49:56+00:00,2024-11-21 16:49:56 SGT,512,open-loot,0.00970568,23.280964053202,7735300.556064223871,7570304.987622598186,matched_exact_symbol_unique
IP,5,"Binance, Bitget, Bybit, Hyperliquid, OKX",2025-02-07T08:28:16+00:00,2025-02-07 16:28:16 SGT,434,story-2,0.621854,21.435555000104,229955951.815073758364,219305656.771348029375,matched_exact_symbol_unique
TRADOOR,1,Binance,2025-09-19T12:30:00+00:00,2025-09-19 20:30:00 SGT,209.8,tradoor,7.1,18.663536461452,27668359.253151927143,102024521.496732085943,matched_exact_symbol_unique
LUMIA,3,"Binance, Bitget, Bybit",2024-10-25T07:36:02+00:00,2024-10-25 15:36:02 SGT,539,lumia,0.103885,17.820620630639,6873069.992265252396,14360345.412608889863,matched_exact_symbol_unique
BASED,4,"Binance, Bitget, Bybit, OKX",2026-03-30T08:23:42+00:00,2026-03-30 16:23:42 SGT,18,based-one,0.132771,17.247131002605,432770938.911184728146,31186432.209625158459,matched_override_map
DIA,3,"Binance, Bitget, Bybit",2024-10-02T12:30:00+00:00,2024-10-02 20:30:00 SGT,561.8,dia-data,0.208852,16.623133861805,5221858.361380894668,24800258.462574794888,matched_exact_symbol_unique
MAGMA,3,"Binance, Bitget, Bybit",2025-12-26T07:06:53+00:00,2025-12-26 15:06:53 SGT,112,magma-finance,0.216058,15.181042329087,3605121.65718640713,41168492.38602796942,matched_exact_symbol_unique
TIA,6,"Binance, Bitget, Bybit, dYdX, Hyperliquid, OKX",2023-10-31T16:12:29+00:00,2023-11-01 00:12:29 SGT,898.6,celestia,0.40331,14.664707649579,166616413.619900554419,364043103.685108661652,matched_override_map
VIC,1,Binance,2025-03-12T17:00:00+00:00,2025-03-13 01:00:00 SGT,400.6,tomochain,0.057945,14.285240419072,3810213.899375964887,7546499.434440982528,matched_exact_symbol_unique
PEAQ,1,Bybit,2024-11-19T08:31:41+00:00,2024-11-19 16:31:41 SGT,514,peaq-2,0.01760645,14.265133708989,6718606.044583078474,35623887.216673366725,matched_exact_symbol_unique
SAPIEN,4,"Binance, Bitget, Bybit, OKX",2025-08-20T17:19:38+00:00,2025-08-21 01:19:38 SGT,239.6,sapien-2,0.087008,14.132716373274,15083507.385763907805,21854340.976148813963,matched_exact_symbol_unique
