token,coingecko_id,rwa_label,rwa_category,protocol,confidence,evidence_type,evidence_detail_json,label_source,labeled_at
1INCH,1inch,non_rwa,,1INCH,0.2,no_rwa_signals_found,"{""categories"": [""Automated Market Maker (AMM)"", ""Exchange-based Tokens"", ""BNB Chain Ecosystem"", ""Pantera Capital Portfolio"", ""Base Native"", ""Alameda Research Portfolio"", ""Decentralized Exchange (DEX)"", ""Dex Aggregator"", ""FTX Holdings"", ""Galaxy Digital Portfolio"", ""YZi Labs (Prev. Binance Labs) Portfolio"", ""DragonFly Capital Portfolio"", ""Decentralized Finance (DeFi)"", ""Coinbase 50 Index"", ""Blockchain Capital Portfolio"", ""GMCI Index"", ""Base Ecosystem"", ""GMCI DeFi Index"", ""Ethereum Ecosystem"", ""Governance""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1MBABYDOGE,1mbabydoge,non_rwa,,1MBABYDOGE,0.2,no_rwa_signals_found,"{""categories"": [""Gaming (GameFi)"", ""Meme"", ""Dog-Themed"", ""Solana Meme"", ""Gaming Utility Token""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
4,4-2,non_rwa,,4,0.2,no_rwa_signals_found,"{""categories"": [""BNB Chain Ecosystem"", ""Meme"", ""Binance Alpha Spotlight"", ""Four.meme Ecosystem (BNB Memes)""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AAVE,aave,non_rwa,,Aave,0.2,no_rwa_signals_found,"{""categories"": [""Stablecoin Issuer"", ""Huobi ECO Chain Ecosystem"", ""Avalanche Ecosystem"", ""BNB Chain Ecosystem"", ""Base Native"", ""Hydration Ecosystem"", ""Index Coop Defi Index"", ""Yield Farming"", ""Optimism Ecosystem"", ""Polygon Ecosystem"", ""Decentralized Finance (DeFi)"", ""Coinbase 50 Index"", ""Blockchain Capital Portfolio"", ""GMCI Index"", ""Near Protocol Ecosystem"", ""Base Ecosystem"", ""GMCI DeFi Index"", ""World Liberty Financial Portfolio"", ""Sora Ecosystem"", ""Harmony Ecosystem"", ""Fantom Ecosystem"", ""Arbitrum Ecosystem"", ""Ethereum Ecosystem"", ""Energi Ecosystem"", ""Lending/Borrowing Protocols"", ""Governance""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACU,acurast,non_rwa,,Acurast,0.2,no_rwa_signals_found,"{""categories"": [""Artificial Intelligence (AI)"", ""BNB Chain Ecosystem"", ""Ethereum Ecosystem"", ""DePIN"", ""Base Ecosystem"", ""Peaq Ecosystem"", ""CoinList Launchpad"", ""Base Native""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACX,across-protocol,non_rwa,,Across Protocol,0.2,no_rwa_signals_found,"{""categories"": [""Polygon Ecosystem"", ""Arbitrum Ecosystem"", ""Ethereum Ecosystem"", ""Optimism Ecosystem"", ""Bridge Governance Tokens"", ""Cross-chain Communication"", ""Intent"", ""Boba Network Ecosystem"", ""Blockchain Capital Portfolio"", ""Made in USA""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AGLD,adventure-gold,non_rwa,,Adventure Gold,0.2,no_rwa_signals_found,"{""categories"": [""Ethereum Ecosystem"", ""DWF Labs Portfolio""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
USDC,usd-coin,non_rwa,excluded-mainstream-stablecoin,Circle,0.99,manual_override,"{""force_override"": true, ""notes"": ""Mainstream stablecoin excluded from RWA classification.""}",manual_override,2026-04-15T08:35:31.347212+00:00
CTC,creditcoin-2,related,institutional-credit,Creditcoin,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Credit / financing network with RWA-adjacent relevance""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
PLUME,plume,related,rwa-chain-infrastructure,Plume,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""RWA-focused chain / infrastructure token""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
POLYX,polymesh,related,regulated-tokenization-infrastructure,Polymesh,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Regulated asset tokenization infrastructure""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
TRU,truefi,related,institutional-credit,TrueFi,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Credit exposure""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
0G,zero-gravity,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000000BABYDOGE,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000000BOB,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000000CHEEMS,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000000MOG,og-fan-token,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
10000QUBIC,qubic-network,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
10000SATS,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000FLOKI,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000LUNC,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000NEIROCTO,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000PEPE,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000TAG,tagger,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000TOSHI,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000TURBO,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000XEC,ecash,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1MCHEEMS,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
2Z,doublezero,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
A,vaulta,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AAPL,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACE,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACH,alchemy-pay,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACN,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ACT,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ADA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AERGO,aergo,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail fetch failed for aergo: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/aergo?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AERO,aerodrome-finance,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AEVO,aevo-exchange,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AGI,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AGT,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AI,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AI16Z,ai16z,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIA,aia,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIN,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIO,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIOT,okzoo,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIOZ,aioz-network,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AIXBT,aixbt,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AKE,akedo,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AKT,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALCH,alchemist-ai,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALGO,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALICE,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALL,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALLO,allora,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALPINE,alpine-f1-team-fan-token,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ALT,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AMD,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AMZN,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ANIME,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ANKR,ankr,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
APE,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
APEX,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
API3,api3,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
APP,moon-app,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
APR,apriori,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
APT,aptos,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AR,arweave,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARB,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARC,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARIA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARK,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARKM,arkham,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARM,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ARPA,arpa,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ASML,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ASP,aspecta,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ASR,as-roma-fan-token,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ASTER,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ASTR,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AT,apro,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ATA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ATH,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
ATOM,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AUCTION,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AVA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AVAAI,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AVAX,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AVGO,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AVNT,avantis,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AWE,stp-network,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AXL,axelar,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AXS,axie-infinity,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
AZTEC,aztec,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
B,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
B2,bsquared-network,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
B3,b3,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BABA,baba,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BABY,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BADGER,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BAN,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BANANA,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BANANAS31,banana-for-scale-2,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BAND,band-protocol,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BANK,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BARD,lombard-protocol,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BAS,bas,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BASED,based-one,review_pending,missing-detail-cache,,0.2,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BAT,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BB,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BCH,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
BEAM,,review_pending,unresolved-identity,,0.15,missing_coingecko_id,"{""reason"": ""No CoinGecko ID available; symbol-only classification is disallowed.""}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
