token,coingecko_id,rwa_label,rwa_category,protocol,confidence,evidence_type,evidence_detail_json,label_source,labeled_at
CFG,centrifuge,core,rwa-financing-protocol,Centrifuge,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Seed allowlist for a core RWA financing protocol.""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
ONDO,ondo-finance,core,rwa-protocol,Ondo,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Seed allowlist for a core RWA protocol token.""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
PAXG,pax-gold,core,tokenized-gold,PAX Gold,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Seed allowlist for a tokenized gold asset.""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
XAUT,tether-gold,core,tokenized-gold,Tether Gold,0.95,seed_allowlist,"{""force_override"": false, ""notes"": ""Seed allowlist for a tokenized gold asset.""}",seed_allowlist,2026-04-15T08:35:31.347212+00:00
1000BONK,1000bonk,non_rwa,,1000BONK,0.2,no_rwa_signals_found,"{""categories"": [""Meme"", ""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000BTT,1000btt,non_rwa,,1000BTT,0.2,no_rwa_signals_found,"{""categories"": [""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000CAT,1000cat,non_rwa,,1000CAT,0.2,no_rwa_signals_found,"{""categories"": [""Meme"", ""Cat-Themed"", ""Binance HODLer Airdrops"", ""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000CHEEMS,1000chems,non_rwa,,1000CHEMS,0.2,no_rwa_signals_found,"{""categories"": [""Meme"", ""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000RATS,1000rats,non_rwa,,1000RATS,0.2,no_rwa_signals_found,"{""categories"": [""BRC-20"", ""Inscriptions"", ""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000SATS,1000sats-ordinals,non_rwa,,1000SATS (Ordinals),0.2,no_rwa_signals_found,"{""categories"": [""BRC-20"", ""Inscriptions""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
1000SHIB,1000shib,non_rwa,,1000SHIB,0.2,no_rwa_signals_found,"{""categories"": [""Multiplier Denominated Tokens""]}",conservative_keyword_fallback,2026-04-15T08:35:31.347212+00:00
