token,coingecko_id,current_price_usd,volume_24h_usd,market_cap_usd,label_source,evidence_type,evidence_detail_json,has_signal_evidence
MYX,myx-finance,0.331626,81870173.861897990108,62247936.529360771179,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
FET,fetch-ai,0.225532,74007783.139133185148,509433919.280341029167,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SUN,sun-token,0.01819395,70701899.940415352583,349697857.574360132217,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
COAI,chainopera-ai,0.391556,69748577.380850866437,73573240.690640315413,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
HBAR,hedera-hashgraph,0.085212,65622488.464519746602,3690358676.892964363098,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
APR,apriori,0.271251,60818172.031223662198,58800736.510378450155,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
CAKE,pancakeswap-token,1.6,60570332.247296668589,523223706.097589790821,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
1000000MOG,og-fan-token,3.21,60103501.188676379621,14870616.797012673691,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
OG,og-fan-token,3.21,60103501.188676379621,14870616.797012673691,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
APT,aptos,0.859598,52174424.714726723731,692969804.725039124489,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
VIRTUAL,virtual-protocol,0.668844,49752493.753540568054,438856548.697188854218,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ETC,ethereum-classic,8.33,46698938.978068493307,1300918398.536907196045,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BLESS,bless-2,0.02785105,46553438.822089932859,51365570.590363554657,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZBT,zerobase,0.114703,43977368.288116358221,27944861.252056319267,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
INJ,injective-protocol,3.01,43820576.930180877447,300090981.001044273376,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
STO,stakestone,0.12277,41052417.817966014147,27657119.311967741698,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RIVER,river,7.62,40825346.086609765887,149147651.193894803524,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ICP,internet-computer,2.41,38721438.16444452852,1327395750.711342573166,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
HEMI,hemi,0.00762346,38455593.207179769874,7437639.909908799455,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
CYS,cysic,0.367903,38227194.282608136535,58781769.414490684867,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
WCT,connect-token-wct,0.06348,37516999.398081667721,12065503.046664696187,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
JST,just,0.079071,36934658.005221366882,697297793.889723062515,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZRO,layerzero,1.89,36067959.499945230782,477726134.833503186703,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
CHZ,chiliz,0.03680402,36050700.409866943955,379207194.622511327267,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SIGN,sign-global,0.02839388,35409231.557993136346,46421748.287812106311,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DEXE,dexe,12.03,34786487.596026025712,568212879.815891623497,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
VVV,venice-token,8.64,34050720.91990879178,393212914.411096453667,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
KAITO,kaito,0.443195,29817929.198594421148,106887514.47977258265,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TRADOOR,tradoor,5.43,29396404.19640384987,76353295.907293573022,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
COMP,compound-governance-token,21.55,29386088.106019187719,208112550.595567107201,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IP,story-2,0.496618,28442779.53961083293,174975612.04865860939,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IOST,iostoken,0.00111039,28365769.015885915607,36260040.512509852648,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ETHFI,ether-fi,0.423242,27304808.113622523844,332869883.02203977108,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
EDGE,edgex,1.008,26425873.632063824683,351824553.120381236076,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
0G,zero-gravity,0.593488,25899886.149363718927,126647370.932676583529,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
KAS,kaspa,0.03235525,25537339.260567955673,884154887.247076511383,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XAN,anoma,0.01023464,24785191.850482258946,25470320.499559100717,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PENDLE,pendle,1.046,23526612.644228577614,174291593.088009655476,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MELANIA,melania-meme,0.102523,22804774.185183860362,97709814.768391564488,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ANKR,ankr,0.00507367,22056795.255958497524,50703296.058473929763,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XDC,xdce-crowd-sale,0.03019525,21358301.071304805577,601631245.331171751022,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
STRK,starknet,0.03238417,21337669.168572600931,184346287.613211512566,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AXS,axie-infinity,1.11,21007849.15177320689,188828750.928810805082,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SIREN,siren-2,0.705938,20745733.471121165901,514554239.67139929533,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BGB,bitget-token,1.9,20562179.746975392103,1331993705.368041038513,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XNY,codatta,0.00515076,20527074.836008965969,12927744.203939380124,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MERL,merlin-chain,0.02912242,20256061.047707978636,34899125.446192204952,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
OKB,okb,84.38,19440715.516893673688,1771759473.794477701187,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SPK,spark-2,0.02195437,19425682.222864519805,55892616.440890751779,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BR,bedrock-token,0.203763,19345976.37501046434,50748022.65385889262,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RAY,raydium,0.642121,18847864.132183816284,172505733.286981523037,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
GALA,gala,0.00296275,18474523.916070833802,140876683.002986758947,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ORDI,ordinals,2.58,18087757.138053007424,54078902.025259397924,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ON,orochi-network,0.196634,17843997.510967992246,28550660.962634529918,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BSB,block-street,0.227744,17690325.173451021314,48973792.192010492086,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ENS,ethereum-name-service,5.77,17541948.288874782622,221528376.321950942278,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TOWNS,towns,0.00328117,17426296.670709293336,6968118.00307886675,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RESOLV,resolv,0.03396985,16217201.85425003618,13155884.049358068034,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MMT,momentum-3,0.135302,15995278.162782199681,27649462.498587463051,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BERA,berachain-bera,0.394571,15839436.977144222707,96708982.425252586603,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AVNT,avantis,0.130742,15503310.360158743337,41848205.75735361129,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
EIGEN,eigenlayer,0.160268,15444178.029657622799,110685975.709439530969,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DUSK,dusk-network,0.15535,15377108.790756015107,77663243.007278457284,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BLUR,blur,0.02033272,15210575.665754614398,56457447.711505010724,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TSLAX,tesla-xstock,366.54,15196608.697885597125,52180368.435172252357,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AR,arweave,1.76,14937370.243452968076,115331816.633992522955,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ARKM,arkham,0.10087,14911203.982175925747,60994726.365872353315,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AERO,aerodrome-finance,0.365643,14793989.548444990069,335605066.044164478779,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ENSO,enso,0.875771,14596291.280002010986,18069769.072293523699,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
VET,vechain,0.00690897,14580933.087010907009,593241576.126628518105,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
THETA,theta-token,0.175034,14566690.975181922317,174652044.165768295527,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TRB,tellor,15.96,14426556.747952258214,44323301.270584531128,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PARTI,particle-network,0.04273502,14148676.664648413658,9958115.144966205582,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ROBO,robo-token-2,0.01867772,13928181.963735036552,41596607.587908163667,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AIA,aia,0.098699,13797511.354504004121,9829196.718106100336,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IMX,immutable-x,0.151987,13764573.045568374917,128013331.298695623875,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AXL,axelar,0.04613055,13623748.761750964448,53176438.346321687102,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
OFC,onefootball-club,0.04453851,13596197.291822269559,7124206.385257567279,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DRIFT,drift-protocol,0.04369831,13503794.197656674311,26710426.281735293567,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PHA,pha,0.03766807,13478591.346613513306,31392467.38236868754,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SKYAI,skyai,0.1286,13420432.745877979323,128013221.813447967172,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IRYS,irys,0.02929265,13274662.411025583744,58553278.378406383097,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AZTEC,aztec,0.02163737,12858475.585764007643,64026859.418147720397,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
A,vaulta,0.07834,12844056.634153276682,128145363.534938037395,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BANANAS31,banana-for-scale-2,0.01017255,12799152.553599020466,101697351.414357498288,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
STX,blockstack,0.220242,12467891.887147478759,405246464.398598372936,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
DOOD,doodles,0.00308011,12442377.19136848487,24014359.64178481698,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
POPCAT,popcat,0.051495,12405944.598814956844,50281274.350780375302,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
STG,stargate-finance,0.218588,12372531.973399238661,25493234.805710088462,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
JTO,jito-governance-token,0.315511,12347165.762790111825,144715831.806215196848,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PIPPIN,pippin,0.02430652,12342944.062041003257,24302867.976371046156,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TRIA,tria,0.02906921,12036075.117317661643,63206160.821508280933,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
LINEA,linea,0.00323718,11902905.044223962352,80548647.548670396209,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
YB,yield-basis,0.115592,11830346.806143142283,10158644.728085214272,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
HUMA,huma-finance,0.01737508,11494210.600904930383,30116797.519482646137,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
AIXBT,aixbt,0.0236621,11158710.3584019728,23526783.117678627372,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BOME,book-of-meme,0.00041103,11155104.234638914466,28324490.193785391748,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
GRT,the-graph,0.0239371,11091600.579680269584,257601545.333375543356,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
EDU,edu-coin,0.04472783,10994353.889409132302,32929001.356764346361,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
CTSI,cartesi,0.03127704,10908404.281692607328,28469828.791613578796,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TWT,trust-wallet-token,0.395284,10814416.273464810103,164621867.502437055111,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SNX,havven,0.292392,10806134.940351597965,100710627.458369806409,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
LPT,livepeer,2.08,10562555.724493779242,103146584.657187610865,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BREV,brevis,0.122285,10509830.371837466955,30627393.679923575372,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PYTH,pyth-network,0.04338884,10272917.469617022201,249446666.960287451744,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
QNT,quant-network,74.15,10184409.017334245145,1078380359.894358634949,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SYRUP,syrup,0.219528,9946161.723049938679,254536070.845231354237,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
KERNEL,kernel-2,0.08507,9945811.726943271235,24323503.505888402462,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
NIL,nillion,0.03576164,9863764.196722386405,15341614.098724901676,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
JASMY,jasmycoin,0.00527005,9660475.531526532024,260584729.270174980164,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SOLV,solv-protocol,0.00417525,9376351.851233137771,6191448.276758425869,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
LISTA,lista,0.080523,9250534.04094260186,26748194.089776694775,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZK,zksync,0.01521519,9002149.030219882727,146067947.219325006008,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IO,io,0.101567,8838100.975236162543,32202058.35590043664,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ALCH,alchemist-ai,0.066884,8832506.035257451236,56851326.761706247926,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BIGTIME,big-time,0.01298185,8813078.423509802669,24771323.430103391409,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
UB,unibase,0.02338374,8685581.823893651366,58774585.218244925141,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BSV,bitcoin-cash-sv,15.29,8668491.70534620434,305892139.483517110348,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TUT,tutorial,0.01048488,8632192.309166498482,8754522.286681620404,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RECALL,recall,0.04699385,8546069.406016828492,11634856.265593081713,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
1000TAG,tagger,0.00073035,8437775.046588692814,79562879.811607912183,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
TAG,tagger,0.00073035,8437775.046588692814,79562879.811607912183,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SAHARA,sahara-ai,0.02211834,8402286.3324216865,69472854.326398566365,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
PTB,portal-to-bitcoin,0.00117715,8349593.818203957751,2432870.10425254656,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
MBOX,mobox,0.01095124,8326129.540351325646,6020364.798629938625,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
EUL,euler,1.11,8151142.095651244745,26708390.523563627154,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ASR,as-roma-fan-token,1.27,8105532.030032075942,10709037.712582072243,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
FOLKS,folks,1.38,7948490.385037284344,19488205.658897634596,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
GUN,gunz,0.0158323,7855447.513421318494,27399335.353160891682,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SSV,ssv-network,2.21,7694743.881313702092,32493622.305900048465,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
FOGO,fogo,0.01883009,7663453.570013235323,71309152.570500060916,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
WAL,walrus-2,0.067453,7638942.996720545925,154763680.121551722288,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
IOTA,iota,0.054884,7637319.910346992314,241025671.665078163147,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ICNT,impossible-cloud-network-token,0.289425,7488308.015858685598,73120754.356746435165,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
QTUM,qtum,0.897079,7419025.022447911091,95056141.415637999773,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZETA,zetachain,0.050201,7302881.023791525513,68449708.619723245502,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ALLO,allora,0.10703,7106811.70148773212,24085130.481537394226,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
HAEDAL,haedal,0.02883293,7019819.420044251718,5622551.682425150648,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZBCN,zebec-network,0.0026153,6999397.150254608132,256391436.378991365433,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SWARMS,swarms,0.01475219,6987646.149166401476,14783577.762264100835,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ORCA,orca,0.880257,6942832.937163021415,53516394.495244190097,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
2Z,doublezero,0.080398,6911463.813580613583,279665651.050418257713,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ALPINE,alpine-f1-team-fan-token,0.416633,6864370.28005677741,4734693.258458536118,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
