token,coingecko_id,current_price_usd,volume_24h_usd,market_cap_usd,label_source,evidence_type,evidence_detail_json,has_signal_evidence
BTC,bitcoin,73870,49918503178.211479187012,1477985245653.286865234375,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ENJ,enjincoin,0.066718,502933237.057660877705,130871584.572821706533,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RAVE,ravedao,15.21,404701773.175096809864,3711534779.712010383606,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
SUI,sui,0.931914,294845384.870787382126,3684277049.662454605103,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BARD,lombard-protocol,0.299657,286097630.209306418896,90728717.406078368425,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ZAMA,zama,0.03007719,218432741.293656021357,66161757.83924665302,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
BASED,based-one,0.075547,201108903.92878049612,17798014.30495364964,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
GIGGLE,giggle-fund,41.27,168669900.534793585539,40952321.593590863049,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RLUSD,ripple-usd,0.999913,147586383.713156253099,1476434507.595485210419,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XMR,monero,341.44,124430484.708121865988,6295675403.217027664185,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
WLD,worldcoin-wld,0.295338,118838641.595938682556,965961904.302654743195,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
RENDER,render-token,1.86,97102417.73703803122,961292241.630371332169,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
XLM,stellar,0.155836,86370375.348352044821,5158447477.915844917297,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
ENA,ethena,0.095155,86273707.679860338569,831730507.69365799427,conservative_keyword_fallback,missing_coingecko_detail,"{""reason"": ""CoinGecko detail cache entry is unavailable.""}",false
